[2024-05-12T18:53:45.460809600+02:00[Europe/Paris]] INFO       | (tp5) jeu.Chateau <init> | Création d'un chateau de couleur [31mRouge[0m
[2024-05-12T18:53:45.463499300+02:00[Europe/Paris]] INFO       | (tp5) jeu.Guerrier setChateau | mise à jour du chateau et de la couleur du Nain
[2024-05-12T18:53:45.466499400+02:00[Europe/Paris]] INFO       | (tp5) jeu.Guerrier <init> | Création d'un Nain
[2024-05-12T18:53:45.466499400+02:00[Europe/Paris]] INFO       | (tp5) jeu.Guerrier setPointDeVie | mise à jour des points de vie du Nain à 100
[2024-05-12T18:53:45.467502200+02:00[Europe/Paris]] INFO       | (tp5) jeu.Chateau <init> | Création d'un chateau de couleur [34mBleu[0m
[2024-05-12T18:53:45.467502200+02:00[Europe/Paris]] INFO       | (tp5) jeu.Guerrier setChateau | mise à jour du chateau et de la couleur du Nain
[2024-05-12T18:53:45.480595500+02:00[Europe/Paris]] INFO       | (tp5) jeu.Guerrier <init> | Création d'un Nain
[2024-05-12T18:53:45.481130500+02:00[Europe/Paris]] INFO       | (tp5) jeu.Guerrier setPointDeVie | mise à jour des points de vie du Nain à 100
[2024-05-12T18:53:45.481130500+02:00[Europe/Paris]] INFO       | (tp5) jeu.Chateau <init> | Création d'un chateau de couleur [34mBleu[0m
[2024-05-12T18:53:45.481130500+02:00[Europe/Paris]] INFO       | (tp5) jeu.Guerrier setChateau | mise à jour du chateau et de la couleur du Nain
[2024-05-12T18:53:45.482682500+02:00[Europe/Paris]] INFO       | (tp5) jeu.Guerrier <init> | Création d'un Nain
[2024-05-12T18:53:45.483214300+02:00[Europe/Paris]] INFO       | (tp5) jeu.Guerrier setPointDeVie | mise à jour des points de vie du Nain à 100
[2024-05-12T18:53:45.483214300+02:00[Europe/Paris]] INFO       | (tp5) jeu.Chateau <init> | Création d'un chateau de couleur [31mRouge[0m
[2024-05-12T18:53:45.483214300+02:00[Europe/Paris]] INFO       | (tp5) jeu.Guerrier setChateau | mise à jour du chateau et de la couleur du Nain
[2024-05-12T18:53:45.486228800+02:00[Europe/Paris]] INFO       | (tp5) jeu.Guerrier <init> | Création d'un Elfe
[2024-05-12T18:53:45.487228500+02:00[Europe/Paris]] INFO       | (tp5) jeu.Guerrier setPointDeVie | mise à jour des points de vie du Elfe à 100
[2024-05-12T18:53:45.487228500+02:00[Europe/Paris]] INFO       | (tp5) jeu.Guerrier <init> | Création d'un Elfe
[2024-05-12T18:53:45.487228500+02:00[Europe/Paris]] INFO       | (tp5) jeu.Guerrier setPointDeVie | mise à jour des points de vie du Elfe à 100
[2024-05-12T18:53:45.488226600+02:00[Europe/Paris]] INFO       | (tp5) jeu.Guerrier setPointDeVie | mise à jour des points de vie du Elfe à 0
[2024-05-12T18:53:45.488226600+02:00[Europe/Paris]] INFO       | (tp5) jeu.Guerrier subirDegats | Le Elfe subit 100 dégats
[2024-05-12T18:53:45.494254800+02:00[Europe/Paris]] INFO       | (tp5) jeu.Guerrier <init> | Création d'un Elfe
[2024-05-12T18:53:45.494254800+02:00[Europe/Paris]] INFO       | (tp5) jeu.Guerrier setPointDeVie | mise à jour des points de vie du Elfe à 100
[2024-05-12T18:53:45.495263700+02:00[Europe/Paris]] INFO       | (tp5) jeu.Guerrier setPointDeVie | mise à jour des points de vie du Elfe à 90
[2024-05-12T18:53:45.495263700+02:00[Europe/Paris]] INFO       | (tp5) jeu.Guerrier subirDegats | Le Elfe subit 10 dégats
[2024-05-12T18:53:45.498260300+02:00[Europe/Paris]] INFO       | (tp5) jeu.Guerrier <init> | Création d'un Nain
[2024-05-12T18:53:45.499260200+02:00[Europe/Paris]] INFO       | (tp5) jeu.Guerrier setPointDeVie | mise à jour des points de vie du Nain à 100
[2024-05-12T18:53:45.499260200+02:00[Europe/Paris]] INFO       | (tp5) jeu.Guerrier <init> | Création d'un Nain
[2024-05-12T18:53:45.500262100+02:00[Europe/Paris]] INFO       | (tp5) jeu.Guerrier setPointDeVie | mise à jour des points de vie du Nain à 100
[2024-05-12T18:53:45.503290300+02:00[Europe/Paris]] INFO       | (tp5) jeu.Guerrier setPointDeVie | mise à jour des points de vie du Nain à 92
[2024-05-12T18:53:45.503290300+02:00[Europe/Paris]] INFO       | (tp5) jeu.Guerrier subirDegats | Le Nain subit 8 dégats
[2024-05-12T18:53:45.504295700+02:00[Europe/Paris]] INFO       | (tp5) jeu.Guerrier attaquer | Nain attaque Nain
[2024-05-12T18:53:45.506296800+02:00[Europe/Paris]] INFO       | (tp5) jeu.Guerrier <init> | Création d'un Nain
[2024-05-12T18:53:45.507297300+02:00[Europe/Paris]] INFO       | (tp5) jeu.Guerrier setPointDeVie | mise à jour des points de vie du Nain à 100
[2024-05-12T18:53:45.509295400+02:00[Europe/Paris]] INFO       | (tp5) jeu.Guerrier <init> | Création d'un Nain
[2024-05-12T18:53:45.509295400+02:00[Europe/Paris]] INFO       | (tp5) jeu.Guerrier setPointDeVie | mise à jour des points de vie du Nain à 100
[2024-05-12T18:53:45.511295300+02:00[Europe/Paris]] INFO       | (tp5) jeu.Guerrier <init> | Création d'un Nain
[2024-05-12T18:53:45.511295300+02:00[Europe/Paris]] INFO       | (tp5) jeu.Guerrier setPointDeVie | mise à jour des points de vie du Nain à 100
[2024-05-12T18:53:45.511295300+02:00[Europe/Paris]] INFO       | (tp5) jeu.Chateau <init> | Création d'un chateau de couleur [34mBleu[0m
[2024-05-12T18:53:45.511295300+02:00[Europe/Paris]] INFO       | (tp5) jeu.Guerrier setChateau | mise à jour du chateau et de la couleur du Nain
[2024-05-12T18:53:45.514391300+02:00[Europe/Paris]] INFO       | (tp5) jeu.Guerrier <init> | Création d'un Nain
[2024-05-12T18:53:45.514391300+02:00[Europe/Paris]] INFO       | (tp5) jeu.Guerrier setPointDeVie | mise à jour des points de vie du Nain à 100
[2024-05-12T18:53:45.515396400+02:00[Europe/Paris]] INFO       | (tp5) jeu.Chateau <init> | Création d'un chateau de couleur [34mBleu[0m
[2024-05-12T18:53:45.515396400+02:00[Europe/Paris]] INFO       | (tp5) jeu.Guerrier setChateau | mise à jour du chateau et de la couleur du Nain
